OrderID,OrderDate,Region,Category,Product,Quantity,UnitPrice,Revenue
1001,2026-01-03,North,Electronics,Laptop,2,55000,110000
1002,2026-01-05,West,Furniture,Office Chair,5,7500,37500
1003,2026-01-08,South,Electronics,Monitor,8,12000,96000
1004,2026-01-10,East,Fashion,Shoes,15,2500,37500
1005,2026-01-12,North,Grocery,Coffee,30,450,13500
1006,2026-01-15,West,Electronics,Keyboard,20,1800,36000
1007,2026-01-18,South,Furniture,Desk,4,14000,56000
1008,2026-01-20,East,Electronics,Mouse,25,900,22500
1009,2026-01-22,North,Fashion,Jacket,10,3200,32000
1010,2026-01-25,West,Grocery,Tea,40,300,12000
1011,2026-02-01,South,Electronics,Tablet,6,28000,168000
1012,2026-02-04,East,Furniture,Bookshelf,3,9500,28500
1013,2026-02-07,North,Electronics,Smartphone,7,42000,294000
1014,2026-02-10,West,Fashion,T-Shirt,50,700,35000
1015,2026-02-15,South,Grocery,Rice,60,1200,72000
